Problem,Problem_ID,Noise_Scale,Self_BLEU,Semantic_Distance,Collapse_Rate,N_Trials
Code,code_optimization,0.0,1.0,-0.0,0.0,3
Code,code_optimization,0.02,0.9869,0.0003,0.0,3
Code,code_optimization,0.05,0.0,0.0,1.0,3
Code,code_optimization,0.1,0.0,0.0,1.0,3
Code,code_optimization,0.2,0.0,0.0,1.0,3
Logic,logic_reasoning,0.0,1.0,0.0,0.0,3
Logic,logic_reasoning,0.02,0.5511,0.1098,0.0,3
Logic,logic_reasoning,0.05,0.0,0.0,0.6667,3
Logic,logic_reasoning,0.1,0.0,0.0,1.0,3
Logic,logic_reasoning,0.2,0.0,0.9586,0.3333,3
Math,math_derivation,0.0,1.0,-0.0,0.0,3
Math,math_derivation,0.02,0.6724,0.0699,0.0,3
Math,math_derivation,0.05,0.0,0.8632,0.6667,3
Math,math_derivation,0.1,0.0,0.0,1.0,3
Math,math_derivation,0.2,0.0,0.0,0.6667,3
Strategy,strategy_creative,0.0,1.0,0.0,0.0,3
Strategy,strategy_creative,0.02,0.4937,0.0869,0.0,3
Strategy,strategy_creative,0.05,0.0,0.0,1.0,3
Strategy,strategy_creative,0.1,0.0,0.0,1.0,3
Strategy,strategy_creative,0.2,0.0,0.0,1.0,3
Architecture,system_design,0.0,1.0,0.0,0.0,3
Architecture,system_design,0.02,0.3082,0.0698,0.0,3
Architecture,system_design,0.05,0.0,0.0,1.0,3
Architecture,system_design,0.1,0.0,0.0,1.0,3
Architecture,system_design,0.2,0.0,0.0,1.0,3
